treatment,dropped_wettest_pct,n_months,wte_min,wte_max,wte_range,water_table_coef,water_table_lo,water_table_hi,water_table_includes_zero,q10,q10_lo,q10_hi,n_bootstrap_ok
weighted,0,115,413.13,413.46,0.33,2.7038856373595532,2.1327246327972986,4.445442391879662,False,2.412445278401664,2.0254837040792317,2.7003145134980255,500
weighted,10,103,413.13,413.41,0.28,2.7205127311745594,2.28723712358466,4.658400651671995,False,2.4376271307519253,1.972378887062342,2.8180363593041258,500
weighted,20,92,413.13,413.39,0.26,2.995244825964481,2.3910735809897865,5.011344240663758,False,2.6563175934666727,2.1697820824557477,3.0350459886820613,500
weighted,30,81,413.13,413.36,0.23,3.541425292880563,2.721056532797793,5.684912129935257,False,2.75726315092161,2.170559491606188,3.0692886695096484,500
weighted,40,69,413.13,413.34,0.21,4.076977341665063,2.3889114563102862,7.151828801715461,False,2.7854644679146596,2.2016002781187307,3.692035292460257,500
unweighted,0,115,413.13,413.46,0.33,2.3848084505321614,1.5820472413916682,3.371044098655044,False,2.564623187199032,2.2896185055906972,2.79566663334893,500
unweighted,10,103,413.13,413.41,0.28,2.782451686100635,1.6141616651530675,3.4314324392470605,False,2.527281381128354,2.196229079548939,2.7640635839195,500
unweighted,20,92,413.13,413.39,0.26,2.8456108208935995,1.935278933558613,3.7847393893380024,False,2.5333510291165333,2.290763092770635,2.7652503716097736,500
unweighted,30,81,413.13,413.36,0.23,2.879597177001278,1.7759563518970123,3.6834803821982254,False,2.5354244798671615,2.3062729737251564,2.847284466421593,500
unweighted,40,69,413.13,413.34,0.21,3.2985393650539865,1.7325088207336417,4.353486914183165,False,2.5795397960541093,2.256359392686048,2.9127571175401665,500
