origin,method,horizon,target,forecast,actual,train_n,mase_scale,n_predictors,predictors,error,scaled
2012-12,ordinary least squares,1,2013-01,-0.0768952780042691,-0.1819952202292226,48,0.2891144570408768,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.1050999422249535,0.3635236483870947
2012-12,ridge,1,2013-01,-0.10467789159202105,-0.1819952202292226,48,0.2891144570408768,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.07731732863720155,0.26742809553197106
2012-12,random forest,1,2013-01,-0.11553788701529691,-0.1819952202292226,48,0.2891144570408768,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.06645733321392569,0.22986513332513683
2012-12,gradient boosting,1,2013-01,-0.14589917445937844,-0.1819952202292226,48,0.2891144570408768,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.036096045769844154,0.12485036597371078
2012-12,ordinary least squares,3,2013-03,-0.22656722531670975,-0.1925970480171465,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",0.03397017729956325,0.11749733184307812
2012-12,ridge,3,2013-03,-0.3037011912663653,-0.1925970480171465,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",0.1111041432492188,0.3842912055882083
2012-12,random forest,3,2013-03,-0.32833889111957465,-0.1925970480171465,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",0.13574184310242815,0.4695090120769579
2012-12,gradient boosting,3,2013-03,-0.36468746301572214,-0.1925970480171465,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",0.17209041499857564,0.5952328249508617
2012-12,ordinary least squares,6,2013-06,-1.9567063238421962,-1.8743521388207536,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",0.08235418502144265,0.2848497645684972
2012-12,ridge,6,2013-06,-1.8703323158294172,-1.8743521388207536,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.004019822991336408,0.013903915537395837
2012-12,random forest,6,2013-06,-1.995887570482398,-1.8743521388207536,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",0.12153543166164438,0.42037133979938246
2012-12,gradient boosting,6,2013-06,-1.7799982819708113,-1.8743521388207536,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.09435385684994224,0.32635468255605743
2012-12,ordinary least squares,12,2013-12,-0.060297909632510305,-0.3300164853587963,48,0.2891144570408768,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-0.269718575726286,0.9329127933860171
2012-12,ridge,12,2013-12,-0.1478572976681649,-0.3300164853587963,48,0.2891144570408768,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-0.18215918769063139,0.6300590761010495
2012-12,random forest,12,2013-12,-0.17717015217699883,-0.3300164853587963,48,0.2891144570408768,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-0.15284633318179747,0.5286706681713502
2012-12,gradient boosting,12,2013-12,-0.24379456406038968,-0.3300164853587963,48,0.2891144570408768,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-0.08622192129840661,0.2982276368359401
2013-01,ordinary least squares,1,2013-02,-0.09227419449064068,-0.2134840139627155,49,0.2852468028792451,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.1212098194720748,0.424929633736814
2013-01,ridge,1,2013-02,-0.12415744321677105,-0.2134840139627155,49,0.2852468028792451,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.08932657074594444,0.31315537928661547
2013-01,random forest,1,2013-02,-0.1617987503461454,-0.2134840139627155,49,0.2852468028792451,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.05168526361657008,0.1811948919141795
2013-01,gradient boosting,1,2013-02,-0.1536392379690259,-0.2134840139627155,49,0.2852468028792451,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.05984477599368959,0.2097999886050396
2013-01,ordinary least squares,3,2013-04,-0.5312776853144262,-0.1102712846226026,49,0.2852468028792451,4,"sin_year, cos_year, year_fraction, flux_lag12",0.4210064006918236,1.4759373161845755
2013-01,ridge,3,2013-04,-0.5719658879380052,-0.1102712846226026,49,0.2852468028792451,4,"sin_year, cos_year, year_fraction, flux_lag12",0.4616946033154026,1.6185794149316162
2013-01,random forest,3,2013-04,-0.5665774470869298,-0.1102712846226026,49,0.2852468028792451,4,"sin_year, cos_year, year_fraction, flux_lag12",0.4563061624643272,1.5996889635867277
2013-01,gradient boosting,3,2013-04,-0.591032008937585,-0.1102712846226026,49,0.2852468028792451,4,"sin_year, cos_year, year_fraction, flux_lag12",0.4807607243149824,1.6854202026534375
2013-01,ordinary least squares,6,2013-07,-2.3939480601443144,-2.3274102803441834,49,0.2852468028792451,4,"sin_year, cos_year, year_fraction, flux_lag12",0.06653777980013098,0.23326389333204461
2013-01,ridge,6,2013-07,-2.0673926085454846,-2.3274102803441834,49,0.2852468028792451,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.26001767179869884,0.9115533256608431
2013-01,random forest,6,2013-07,-1.9301588553438656,-2.3274102803441834,49,0.2852468028792451,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.39725142500031785,1.3926586415360744
2013-01,gradient boosting,6,2013-07,-1.6867787293360128,-2.3274102803441834,49,0.2852468028792451,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.6406315510081706,2.2458851231344816
2013-01,ordinary least squares,12,2014-01,-0.16248004250203954,-0.2205127684844346,49,0.2852468028792451,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-0.05803272598239506,0.2034474195560479
2013-01,ridge,12,2014-01,-0.14386267898902144,-0.2205127684844346,49,0.2852468028792451,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-0.07665008949541316,0.2687149819795239
2013-01,random forest,12,2014-01,-0.13206170374276505,-0.2205127684844346,49,0.2852468028792451,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-0.08845106474166956,0.3100860863254407
2013-01,gradient boosting,12,2014-01,-0.1912093983662852,-0.2205127684844346,49,0.2852468028792451,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-0.029303370118149402,0.10272988100958502
2013-02,ordinary least squares,1,2013-03,-0.31205687948546124,-0.1925970480171465,50,0.2798471725871334,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",0.11945983146831474,0.42687524895796347
2013-02,ridge,1,2013-03,-0.3434772148503981,-0.1925970480171465,50,0.2798471725871334,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",0.15088016683325162,0.539152014431282
2013-02,random forest,1,2013-03,-0.3805376072642709,-0.1925970480171465,50,0.2798471725871334,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",0.18794055924712438,0.671582841125926
2013-02,gradient boosting,1,2013-03,-0.3343334532055853,-0.1925970480171465,50,0.2798471725871334,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",0.14173640518843877,0.5064778889066948
2013-02,ordinary least squares,3,2013-05,-0.9387568757651815,-0.6183280364493146,50,0.2798471725871334,4,"sin_year, cos_year, year_fraction, flux_lag12",0.32042883931586696,1.1450136742621477
2013-02,ridge,3,2013-05,-0.9312601514624647,-0.6183280364493146,50,0.2798471725871334,4,"sin_year, cos_year, year_fraction, flux_lag12",0.3129321150131501,1.118225037330743
2013-02,random forest,3,2013-05,-0.9451974815844376,-0.6183280364493146,50,0.2798471725871334,4,"sin_year, cos_year, year_fraction, flux_lag12",0.32686944513512306,1.1680283996199705
2013-02,gradient boosting,3,2013-05,-0.8808988912549758,-0.6183280364493146,50,0.2798471725871334,4,"sin_year, cos_year, year_fraction, flux_lag12",0.2625708548056612,0.938265169443179
2013-02,ordinary least squares,6,2013-08,-2.1439827693685594,-1.4957553788975266,50,0.2798471725871334,4,"sin_year, cos_year, year_fraction, flux_lag12",0.6482273904710327,2.316362121790601
2013-02,ridge,6,2013-08,-1.861902975256975,-1.4957553788975266,50,0.2798471725871334,4,"sin_year, cos_year, year_fraction, flux_lag12",0.36614759635944827,1.3083841189978231
2013-02,random forest,6,2013-08,-1.774699407730083,-1.4957553788975266,50,0.2798471725871334,4,"sin_year, cos_year, year_fraction, flux_lag12",0.2789440288325564,0.9967727251048222
2013-02,gradient boosting,6,2013-08,-1.5150812971773144,-1.4957553788975266,50,0.2798471725871334,4,"sin_year, cos_year, year_fraction, flux_lag12",0.0193259182797878,0.06905882986461288
2013-02,ordinary least squares,12,2014-02,-0.126499504779661,-0.1820369855247651,50,0.2798471725871334,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-0.05553748074510412,0.19845646547603385
2013-02,ridge,12,2014-02,-0.1446925389361432,-0.1820369855247651,50,0.2798471725871334,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-0.037344446588621905,0.13344585990767627
2013-02,random forest,12,2014-02,-0.1516081351481119,-0.1820369855247651,50,0.2798471725871334,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-0.030428850376653216,0.10873381387185133
2013-02,gradient boosting,12,2014-02,-0.14188367291993462,-0.1820369855247651,50,0.2798471725871334,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-0.04015331260483049,0.14348300264612582
2013-03,ordinary least squares,1,2013-04,-0.4749334926959179,-0.1102712846226026,51,0.28003374901835587,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",0.3646622080733153,1.3022080708186787
2013-03,ridge,1,2013-04,-0.5147692803786619,-0.1102712846226026,51,0.28003374901835587,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",0.40449799575605927,1.4444615949827708
