origin,method,horizon,target,forecast,actual,train_n,mase_scale,n_predictors,predictors,error,scaled
2012-12,ordinary least squares,1,2013-01,-0.07285622406155493,-0.1819952202292226,48,0.2891144570408768,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.10913899616766767,0.37749408066521184
2012-12,ridge,1,2013-01,-0.10170912655179529,-0.1819952202292226,48,0.2891144570408768,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.08028609367742731,0.27769657214366134
2012-12,random forest,1,2013-01,-0.11817400790697492,-0.1819952202292226,48,0.2891144570408768,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.06382121232224768,0.22074721885396495
2012-12,gradient boosting,1,2013-01,-0.1535386760114203,-0.1819952202292226,48,0.2891144570408768,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.028456544217802304,0.09842656956368993
2012-12,ordinary least squares,3,2013-03,-0.2306042874718603,-0.1925970480171465,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",0.03800723945471379,0.13146087485116698
2012-12,ridge,3,2013-03,-0.29915086679964836,-0.1925970480171465,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",0.10655381878250186,0.3685523715178194
2012-12,random forest,3,2013-03,-0.3204951406475398,-0.1925970480171465,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",0.1278980926303933,0.4423787517907148
2012-12,gradient boosting,3,2013-03,-0.35375482302638944,-0.1925970480171465,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",0.16115777500924294,0.5574185969761362
2012-12,ordinary least squares,6,2013-06,-1.9103984913657244,-1.8743521388207536,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",0.036046352544970794,0.12467848517127021
2012-12,ridge,6,2013-06,-1.822890445079468,-1.8743521388207536,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.05146169374128551,0.17799764933238718
2012-12,random forest,6,2013-06,-1.966422896178183,-1.8743521388207536,48,0.2891144570408768,4,"sin_year, cos_year, year_fraction, flux_lag12",0.09207075735742953,0.3184578118292161
