month,fch4_mean,fch4_n,fch4_sd,fch4_se,fch4_1_1_1_mean,fch4_1_1_1_n,fch4_1_1_1_sd,fch4_1_1_1_se,fch4_1_1_2_mean,fch4_1_1_2_n,fch4_1_1_2_sd,fch4_1_1_2_se,soil_temp_f,soil_temp_n,atm_temp_f,precip_in,fco2,wte_m
2009-04,13.468304878048782,82,7.346902743214143,0.8113296818566141,,0,,,,0,,,33.33615384615385,26,39.83,0.125,-0.522134822,413.18
2009-05,23.4448916967509,554,8.892823601358888,0.3778198709470759,,0,,,,0,,,45.9725,24,48.407,0.265,-1.444106716,413.28
2009-06,48.625577966101694,590,19.322679543042504,0.7955021276677523,,0,,,,0,,,52.0175,24,58.577,0.175,-2.278444191,413.32
2009-07,59.3036438172043,744,13.72965870504241,0.5033537098305697,,0,,,,0,,,54.902352941176474,17,60.602,0.26,-3.718233571,413.3
2009-08,67.31099620493357,527,32.77169236583453,1.427557341418465,,0,,,,0,,,59.405,24,61.295,0.325,-3.519290901,413.26
2009-09,46.16387337662338,308,20.655346330023868,1.1769475873714934,,0,,,,0,,,56.20399999999999,30,60.503,0.04,-1.798406067,413.24
2009-10,27.023624288425047,527,11.808016969987605,0.5143652981032238,,0,,,,0,,,43.175,24,36.788,0.315,-0.377087433,413.2
2009-11,18.99573839662447,237,13.204512731076905,0.8577252726327715,,0,,,,0,,,37.5575,24,34.664,0.115,-0.459176873,413.2
2009-12,10.050536312849161,895,4.565536239343927,0.15260904573804143,,0,,,,0,,,31.148,30,9.383,0.12,-0.32699218,413.21
2010-01,9.928268571428571,175,16.021639072014178,1.2111220737195767,,0,,,,0,,,29.5925,24,7.988,0.085,-0.134048697,413.19
2010-02,7.636915492957747,710,10.454996529145399,0.39236902798122697,,0,,,,0,,,29.5325,24,13.424,0.02,-0.217298968,413.16
2010-03,9.99428473413379,583,8.067275058360211,0.33411239485634076,,0,,,,0,,,31.898,30,35.6,0.05,-0.521260732,413.13
2010-04,12.037372712146423,601,7.319464904908521,0.2985672010359172,,0,,,,0,,,36.8,24,46.4,0.095,-0.982676723,413.14
2010-05,14.29918558951965,458,6.956680049192852,0.32506431109367817,,0,,,,0,,,45.2675,24,53.42,0.215,-1.267191861,413.15
2010-06,22.20240499040307,521,7.635614282571237,0.33452233534537706,,0,,,,0,,,55.879999999999995,27,59.36,0.39,-2.753788936,413.16
2010-07,46.76633805668016,494,18.791298555143246,0.8454604923391354,,0,,,,0,,,61.58,30,67.1,0.435,-3.526297898,413.15
2010-08,66.3539732739421,449,29.4980482352858,1.3920989661681178,,0,,,,0,,,63.125,24,67.046,0.535,-2.756569508,413.16
2010-09,55.589716951788496,643,22.518393882570763,0.8880387664840644,,0,,,,0,,,55.202,30,49.82,0.38,-1.675022828,413.19
2010-10,36.08582430213465,609,36.102778594230315,1.4629584160641849,,0,,,,0,,,47.6975,24,45.293,0.24,-0.579250897,413.2
2010-11,18.795594827586207,580,7.644905004745273,0.3174374022776647,,0,,,,0,,,39.05,24,28.22,0.17,-0.169618611,413.23
2010-12,13.044687037037038,540,11.81974667347247,0.5086409113638821,,0,,,,0,,,32.804,30,9.644,0.205,-0.065565965,413.23
2011-01,8.815651239669421,605,8.454186793736978,0.3437115702777614,,0,,,,0,,,31.4225,24,3.056,0.15,-0.017848344,413.21
2011-02,7.747600961538461,624,5.686095496860851,0.22762599356793692,,0,,,,0,,,,0,11.363,0.03,-0.095049415,413.19
2011-03,6.568741379310344,522,9.732540655970936,0.4259817320659226,,0,,,,0,,,31.778,30,23.063,0.035,-0.385911983,413.17
2011-04,13.450976241900648,463,7.1715673075430635,0.33329099760655606,,0,,,,0,,,35.4725,24,38.777,0.355,-0.812429344,413.16
2011-05,27.58856914893617,564,13.243068643030577,0.557633784927199,,0,,,,0,,,46.4075,24,51.161,0.2,-1.347334434,413.3
2011-06,14.37301098901099,182,12.443554102265605,0.9223775975139822,,0,,,,0,,,55.868,30,59.027,0.545,-2.756256045,413.33
2011-07,111.22749411764705,510,67.19753331652953,2.9755567888347523,,0,,,,0,,,65.04285714285714,21,68.72,0.29,-4.05492851,413.39
