month,fch4_mean,fch4_days,fch4_sd_across_days,fch4_halfhours,n_mixed_days,fch4_se_across_days,frac_site_aggregated,frac_tga100a,frac_li7700,n_analyzers
2009-04,13.852843722943723,4,5.21757587082545,78,0,2.608787935412725,1.0,0.0,0.0,1
2009-05,23.134775694812777,19,5.233359546116326,545,0,1.2006150208807866,1.0,0.0,0.0,1
2009-06,46.37514944231627,23,13.26012354582123,569,0,2.7649268914813345,1.0,0.0,0.0,1
2009-07,58.1194527675635,24,8.925802054803743,732,0,1.821971714946232,1.0,0.0,0.0,1
2009-08,66.47741470252797,20,10.420253009091928,498,0,2.3300394071076282,1.0,0.0,0.0,1
2009-09,47.81030605542525,17,6.6919426300128535,286,0,1.6230344884774492,1.0,0.0,0.0,1
2009-10,25.834968263102063,22,8.686564828936309,519,0,1.8519818441986715,1.0,0.0,0.0,1
2009-11,20.62780108581894,14,7.207235316460233,219,0,1.9262146614322468,1.0,0.0,0.0,1
2009-12,10.164962245468114,26,2.649029596105954,883,0,0.5195174462549643,1.0,0.0,0.0,1
2010-01,10.329386693127844,6,7.136617424180214,162,0,2.9135118631161903,1.0,0.0,0.0,1
2010-02,7.422987088419219,27,3.883116475391316,703,0,0.7473061141206156,1.0,0.0,0.0,1
2010-03,9.28639213113743,21,2.8922124353939065,560,0,0.6311324957659598,1.0,0.0,0.0,1
2010-04,12.126787362235738,23,2.1246788535409586,596,0,0.4430261662055504,1.0,0.0,0.0,1
2010-05,14.424946391171485,21,3.4552431525101293,423,0,0.7539958709931197,1.0,0.0,0.0,1
2010-06,22.02032710924708,23,4.209128717864147,499,0,0.8776640082962491,1.0,0.0,0.0,1
2010-07,46.59468794884317,21,6.174213757332642,475,0,1.3473238999911685,1.0,0.0,0.0,1
2010-08,64.60288154367589,15,9.397676796751329,413,0,2.4264697151238503,1.0,0.0,0.0,1
2010-09,55.01620510069278,24,10.5988931026233,631,0,2.163489994977596,1.0,0.0,0.0,1
2010-10,37.702172815241,21,14.224213948573246,576,0,3.1039779581230285,1.0,0.0,0.0,1
2010-11,18.45528717392688,20,5.05225198753516,560,0,1.1297178883587038,1.0,0.0,0.0,1
2010-12,13.346315967147703,18,4.372941758302053,522,0,1.0307122570097356,1.0,0.0,0.0,1
2011-01,8.720811986898006,23,2.0767329585892766,596,0,0.43302875601325835,1.0,0.0,0.0,1
2011-02,7.845410434358447,19,1.8504705333105647,593,0,0.42452705540529295,1.0,0.0,0.0,1
2011-03,6.552991519240584,22,2.5179149398871186,500,0,0.5368212689064275,1.0,0.0,0.0,1
2011-04,13.627661550765678,17,4.4661968220777934,421,0,1.0832118377779216,1.0,0.0,0.0,1
2011-05,28.541451289379292,22,8.321237673920976,540,0,1.7740938330452454,1.0,0.0,0.0,1
2011-06,15.379561813153245,6,5.769745984125914,163,0,2.3554889344301437,1.0,0.0,0.0,1
2011-07,110.30612950576827,21,41.12923096995554,477,0,8.975134009292537,1.0,0.0,0.0,1
2011-08,157.19494006284967,20,43.880721684323206,423,0,9.812027658789575,1.0,0.0,0.0,1
2011-09,129.3732962666349,21,46.60897583107916,490,0,10.170912371918453,1.0,0.0,0.0,1
2011-10,60.18676907568967,19,37.36411701789693,455,0,8.571916326086368,1.0,0.0,0.0,1
2011-11,35.60756278433956,20,18.00821296387302,518,0,4.026758834051304,1.0,0.0,0.0,1
2011-12,18.489491295677897,22,5.8750463931719565,626,0,1.2525640996467065,1.0,0.0,0.0,1
2012-01,18.570841537255742,24,5.92535550844964,699,0,1.2095081283576,1.0,0.0,0.0,1
2012-02,16.441654699309883,24,3.2232300148037316,654,0,0.6579390716577177,1.0,0.0,0.0,1
2012-03,17.147028788810893,15,4.455700262412578,328,0,1.1504568608010621,1.0,0.0,0.0,1
2012-04,18.6782328347274,22,3.489678166370482,477,0,0.7440018849207198,1.0,0.0,0.0,1
2012-05,33.550592511258664,18,9.946178342932724,371,0,2.3443367177261694,1.0,0.0,0.0,1
2012-06,88.37974007373376,20,21.453792447661236,448,0,4.797213828814212,1.0,0.0,0.0,1
2012-07,140.5754774456855,20,23.28257482550873,443,0,5.206142000106282,1.0,0.0,0.0,1
2012-08,125.9384230520374,22,18.650857319417323,497,0,3.976376141146053,1.0,0.0,0.0,1
2012-09,79.36248206948947,23,29.83906729817572,508,0,6.2218756336887315,1.0,0.0,0.0,1
2012-10,35.762619685520384,12,6.625301754494071,230,0,1.912559875709826,1.0,0.0,0.0,1
2012-11,20.36106838895479,18,3.7285486675699633,451,0,0.8788273489409292,1.0,0.0,0.0,1
2012-12,13.320763550298041,18,3.742164410334974,380,0,0.882036610287606,1.0,0.0,0.0,1
2013-04,10.94057363177637,13,5.416480745295413,262,0,1.5022614661327705,1.0,0.0,0.0,1
2013-05,13.945148401039091,13,8.077827866264633,359,0,2.240386351245308,1.0,0.0,0.0,1
2013-06,44.73308099198369,9,9.067064356582463,150,0,3.022354785527488,1.0,0.0,0.0,1
2014-01,6.130696157269827,16,8.154361106154498,412,0,2.0385902765386246,1.0,0.0,0.0,1
2014-02,5.9174748168498175,3,1.7117220682753989,58,0,0.9882631968966246,1.0,0.0,0.0,1
2014-03,6.922493360166889,9,3.927299239817726,195,0,1.3090997466059087,1.0,0.0,0.0,1
2014-05,29.454100313479625,2,0.8293586720831003,51,0,0.5864451410658305,1.0,0.0,0.0,1
2014-06,53.59145897698119,14,9.071362646681425,271,0,2.424423646790055,1.0,0.0,0.0,1
2014-07,116.77371643554119,17,23.72940971068739,363,0,5.755227215924795,1.0,0.0,0.0,1
2014-08,101.89916824776165,11,14.312624736089099,240,0,4.3154187286151835,1.0,0.0,0.0,1
2014-09,73.16617456065525,17,13.042451611553657,402,0,3.1632591536142947,1.0,0.0,0.0,1
2014-10,49.65516070846122,13,8.88490884922488,380,0,2.464230341054158,1.0,0.0,0.0,1
2014-12,15.985119335849532,9,3.3089024909901665,317,0,1.1029674969967223,1.0,0.0,0.0,1
2015-01,15.859275612745098,4,1.8561756974217731,84,0,0.9280878487108866,0.0,1.0,0.0,1
2015-02,14.337945119971938,15,2.8356163716714904,344,0,0.7321529989144522,0.0,1.0,0.0,1
2015-03,18.270999943338268,23,3.172493337175899,488,10,0.6615105893012063,0.0,0.9385245901639344,0.06147540983606557,2
2015-04,20.967188829262188,26,2.577981894653348,674,19,0.5055838456356277,0.0,0.8813056379821959,0.11869436201780416,2
2015-05,19.80782415097063,19,2.8248777782581294,422,4,0.6480714085937307,0.0,0.981042654028436,0.018957345971563982,2
2015-06,26.853943253830167,22,3.726225101539545,445,0,0.7944338609504882,0.0,1.0,0.0,1
2015-07,40.27710009521364,19,10.330399051612499,508,3,2.3699560796014367,0.0,0.889763779527559,0.11023622047244094,2
2015-08,51.522557359379476,16,8.93979285574238,287,0,2.234948213935595,0.0,0.0,1.0,1
2015-09,46.95690568596313,13,4.296232694037172,223,4,1.191560559205832,0.0,0.8026905829596412,0.19730941704035873,2
2015-10,39.94549525743978,14,5.417911237164509,274,0,1.4479976858158663,0.0,0.0,1.0,1
2015-11,23.24231222345735,14,6.30408056403787,245,2,1.684836400660738,0.0,0.9224489795918367,0.07755102040816327,2
2015-12,17.42685557334822,6,5.447822725747909,102,6,2.2240643145367667,0.0,0.6078431372549019,0.39215686274509803,2
2016-01,12.545716331639493,8,3.324057441663745,179,7,1.1752317790270201,0.0,0.441340782122905,0.5586592178770949,2
2016-02,10.15844576393427,14,1.686665221893045,356,12,0.45078024189363003,0.0,0.37640449438202245,0.6235955056179775,2
2016-03,10.941891091547808,19,4.427664441829132,409,19,1.0157758872548215,0.0,0.46454767726161367,0.5354523227383863,2
2016-04,13.762156850690104,18,3.068011712462647,401,18,0.7231372955473634,0.0,0.45885286783042395,0.5411471321695761,2
2016-05,25.077205412742018,17,3.9913764238044345,405,15,0.9680509757026919,0.0,0.7283950617283951,0.2716049382716049,2
2016-06,37.77888036018321,22,6.719588202566916,471,3,1.4326210184019752,0.0,0.9915074309978769,0.008492569002123142,2
2016-07,59.479007540889526,23,12.061208147762922,452,6,2.514935749751202,0.0,0.9778761061946902,0.022123893805309734,2
2016-08,82.24805659922927,20,6.989845620934566,435,18,1.5629769960638915,0.0,0.8620689655172413,0.13793103448275862,2
2016-09,70.99065504807947,21,9.007619799579837,479,13,1.9656237887122647,0.0,0.7536534446764092,0.24634655532359082,2
2016-10,45.825641242881055,19,5.686324120996734,427,10,1.3045322212443426,0.0,0.7892271662763466,0.2107728337236534,2
2016-11,30.680677793038594,16,8.346586083558444,306,16,2.086646520889611,0.0,0.8006535947712419,0.19934640522875818,2
2016-12,20.010404444074908,19,3.6644748541995873,468,18,0.8406881879264181,0.0,0.358974358974359,0.6410256410256411,2
2017-01,12.779323304793628,20,6.3612219285123786,544,20,1.4224124652115986,0.0,0.30514705882352944,0.6948529411764706,2
2017-02,9.717814057555968,24,6.895605964778928,641,23,1.407559673416707,0.0,0.2714508580343214,0.7285491419656787,2
2017-03,12.137530418720104,18,13.618803566482251,496,17,3.2099827845023796,0.0,0.3004032258064516,0.6995967741935484,2
2017-04,37.58497474692917,24,8.335955640754047,521,19,1.701569819860218,0.0,0.7754318618042226,0.22456813819577734,2
2017-05,44.37289578478105,19,10.808785240507842,382,9,2.4797053982004025,0.0,0.8507853403141361,0.14921465968586387,2
2017-06,64.03962290501559,21,10.613528567805487,529,9,2.3160618120259473,0.0,0.8601134215500945,0.13988657844990549,2
2017-07,87.66503940194706,26,11.136980667106378,536,17,2.1841416055415777,0.0,0.9272388059701493,0.07276119402985075,2
2017-08,64.92411901892125,27,14.461275364404262,505,10,2.7830737414880344,0.0,0.9544554455445544,0.04554455445544554,2
2017-09,57.26309737930811,21,8.541969939331393,457,7,1.8640106586201646,0.0,0.9321663019693655,0.06783369803063458,2
2017-10,44.335099592081605,19,6.192747885949215,456,3,1.420713800930409,0.0,0.631578947368421,0.3684210526315789,2
2017-11,24.726785832255885,19,3.9177574439533362,604,16,0.8987951991314108,0.0,0.9105960264900662,0.08940397350993377,2
2017-12,15.912696746808685,27,3.0850429389917267,741,20,0.5937167904294759,0.0,0.9136302294197031,0.08636977058029689,2
2018-01,14.127256433427142,23,3.3765122565312784,599,17,0.7040514747271509,0.0,0.8914858096828047,0.10851419031719532,2
2018-02,15.193683556828182,20,6.9066835112347285,496,16,1.5443813830197786,0.0,0.9395161290322581,0.06048387096774194,2
2018-03,11.878382965146416,24,2.1168283370791094,631,19,0.43209577490900425,0.0,0.8922345483359746,0.10776545166402536,2
2018-04,14.762731692428028,26,7.407597115224271,678,23,1.4527493168985455,0.0,0.9203539823008849,0.07964601769911504,2
2018-05,22.28945321441668,24,4.850907403240336,521,9,0.9901873272856822,0.0,0.9078694817658349,0.09213051823416507,2
2018-06,49.00751314913543,24,13.521702798697996,510,13,2.7601060258644448,0.0,0.8431372549019608,0.1568627450980392,2
2018-07,104.34712761304148,25,20.404951071962728,431,5,4.080990214392545,0.0,0.3294663573085847,0.6705336426914154,2
2018-08,84.43051869211212,25,17.874843743802874,536,0,3.5749687487605746,0.0,0.0,1.0,1
2018-09,60.839375624821194,23,7.168506119976668,481,0,1.4947368532714895,0.0,0.0,1.0,1
2018-10,42.393686961695,11,12.44252821057714,276,0,3.751563410717869,0.0,0.0,1.0,1
2018-11,22.555424762260788,23,5.9248241771224235,515,0,1.2354112416838723,0.0,0.0,1.0,1
2018-12,15.655540193235685,22,5.390295034462308,518,0,1.1492147627154539,0.0,0.0,1.0,1
2019-01,10.309633955284077,21,4.623006191501526,481,0,1.008822657657393,1.0,0.0,0.0,1
2019-02,12.942285563526768,14,5.71854378376369,298,0,1.5283451135792583,1.0,0.0,0.0,1
2019-03,11.14198549810619,24,5.024101782705232,606,0,1.0255404819529288,1.0,0.0,0.0,1
2019-04,13.01437402590086,26,8.403920934808223,603,0,1.6481444937414635,1.0,0.0,0.0,1
2019-05,27.190253274241584,25,7.574741572738023,578,0,1.5149483145476046,1.0,0.0,0.0,1
2019-06,53.765561552545165,22,9.643408998382265,406,0,2.0559817065652384,1.0,0.0,0.0,1
2019-07,82.64673275728832,24,9.270426686496384,484,0,1.8923179233163616,1.0,0.0,0.0,1
2019-08,74.7848994470258,22,24.499362311037764,397,0,5.223281594968895,1.0,0.0,0.0,1
2019-09,60.25148092532468,4,9.16907956683311,55,0,4.584539783416555,1.0,0.0,0.0,1
2019-10,42.639917593372886,18,10.929900279480783,446,0,2.5762022017712014,1.0,0.0,0.0,1
2019-11,21.47391234510809,20,4.968851548369774,616,0,1.11106898322599,1.0,0.0,0.0,1
2019-12,16.705329993543785,16,2.8730831678445843,409,0,0.7182707919611461,1.0,0.0,0.0,1
2020-01,11.279819926687372,15,5.865324589291719,374,0,1.5144202969618454,1.0,0.0,0.0,1
2020-02,10.515282795633206,24,5.318286983250199,651,0,1.0855907845540547,1.0,0.0,0.0,1
2020-03,6.176867992983066,24,3.6362067609944413,639,0,0.7422375969745607,1.0,0.0,0.0,1
2020-04,20.838584510761713,30,8.536250776658738,840,0,1.5584990356323283,1.0,0.0,0.0,1
2020-05,33.51816927694313,22,15.076398903978882,698,0,3.2142990463912375,1.0,0.0,0.0,1
2020-06,53.90333150915241,18,14.535994427682919,404,0,3.426166743701487,1.0,0.0,0.0,1
2020-07,72.22878590801174,18,9.906110835422897,320,0,2.334892715637689,1.0,0.0,0.0,1
2020-08,77.38043270178966,21,17.997403740433203,389,0,3.9273554739626917,1.0,0.0,0.0,1
2020-09,83.16468280787637,20,16.588766571618866,377,0,3.7093609717015914,1.0,0.0,0.0,1
2020-10,44.3611068967849,19,9.798400290234456,532,0,2.247907193341663,1.0,0.0,0.0,1
2020-11,25.364511503111405,16,5.8663276984416255,359,0,1.4665819246104064,1.0,0.0,0.0,1
2020-12,22.88940983508864,20,7.6341096585683115,510,0,1.7070388144246453,1.0,0.0,0.0,1
2021-01,16.335370152243723,22,7.136485408424735,354,0,1.5215038013375146,1.0,0.0,0.0,1
2021-02,12.194924651216166,18,2.604357305982738,442,0,0.6138529038977075,1.0,0.0,0.0,1
2021-03,12.39642748230646,23,6.620105816596995,580,0,1.380387485343555,1.0,0.0,0.0,1
2021-04,22.00182242064943,22,9.804724793167356,557,0,2.0903743495728944,1.0,0.0,0.0,1
2021-05,26.932322185963937,22,5.754671416992713,503,0,1.2269000684940021,1.0,0.0,0.0,1
2021-06,45.84972555421262,24,12.927362779297072,499,0,2.6387868774271013,1.0,0.0,0.0,1
2021-07,39.735032057104355,30,9.542681804946051,591,0,1.7422473612210219,1.0,0.0,0.0,1
2021-08,33.80709709333861,22,5.232043705235485,492,0,1.1154754659600676,1.0,0.0,0.0,1
2021-09,32.655076069205336,19,5.130056778832149,430,0,1.1769157407134274,1.0,0.0,0.0,1
2021-10,30.3344767857252,23,7.968420237285749,541,0,1.6615304767381749,1.0,0.0,0.0,1
2021-11,18.908944354538587,22,9.519220167441292,622,0,2.0295045588452574,1.0,0.0,0.0,1
2021-12,12.212320510766249,19,9.221615571549682,426,0,2.11558370381927,1.0,0.0,0.0,1
2022-01,5.188082145126601,26,2.6730876161823116,675,0,0.5242356121714165,1.0,0.0,0.0,1
2022-02,3.522447811211238,21,1.0655049836173658,529,0,0.2325122495609172,1.0,0.0,0.0,1
2022-03,2.7599526260155898,30,1.0467708187756137,881,0,0.19111332999385197,1.0,0.0,0.0,1
2022-04,4.015144130655913,26,3.374009275311766,680,0,0.6616976589945287,1.0,0.0,0.0,1
2022-05,23.358449826430714,23,5.2672441435788455,537,0,1.0982963262939016,1.0,0.0,0.0,1
2022-06,56.15363908959766,11,11.379949341758607,194,0,3.4311838272604738,1.0,0.0,0.0,1
2022-07,86.85293371521024,31,16.688625313907806,790,0,2.9973655899160927,1.0,0.0,0.0,1
2022-08,93.98463983219796,25,14.817621854074067,559,0,2.9635243708148136,1.0,0.0,0.0,1
2022-09,85.59321142144317,23,21.082690957420507,498,0,4.396044951732926,1.0,0.0,0.0,1
2022-10,51.06565402002149,23,10.153902794232016,585,0,2.117235091531783,1.0,0.0,0.0,1
2022-11,25.312618286201335,23,7.8839833642672605,660,0,1.643924171635913,1.0,0.0,0.0,1
2022-12,15.053569039963536,28,3.077152505221353,852,0,0.581527162502506,1.0,0.0,0.0,1
2023-01,10.025569844756562,27,1.6768805690300363,699,0,0.32271581597611476,1.0,0.0,0.0,1
2023-02,7.465975205535738,24,1.5201288579549947,647,0,0.31029500377245556,1.0,0.0,0.0,1
2023-03,6.844635239235898,28,1.3214528415493347,656,0,0.24973111343137006,1.0,0.0,0.0,1
2023-04,10.95598798438426,26,6.0433471837710835,638,0,1.1851978929794138,1.0,0.0,0.0,1
2023-05,35.98676752899446,21,12.95781122422596,451,0,2.8276262274268507,1.0,0.0,0.0,1
2023-06,97.6457402126361,22,11.905834565489831,420,0,2.53833245817382,1.0,0.0,0.0,1
2023-07,100.19446543672797,29,10.403542459683884,684,0,1.9318893352903168,1.0,0.0,0.0,1
2023-08,79.00353870101435,31,15.143841907168019,738,0,2.7199142995826433,1.0,0.0,0.0,1
2023-09,48.236195925316515,28,8.008333170746727,612,0,1.5134327132818002,1.0,0.0,0.0,1
2023-10,35.46603970796329,26,7.476679196200887,624,0,1.4662974276269825,1.0,0.0,0.0,1
2023-11,20.851555694467198,28,4.330207831832796,822,0,0.8183323605895556,1.0,0.0,0.0,1
2023-12,15.372841060353966,23,4.056184846830144,528,0,0.845773006643973,1.0,0.0,0.0,1
2024-01,11.151456915877766,30,2.284411740701094,868,0,0.4170746136705439,1.0,0.0,0.0,1
2024-02,13.37131169744724,28,2.200359329365997,850,0,0.4158288271773778,1.0,0.0,0.0,1
2024-03,16.921265469384526,29,5.622420245785074,925,0,1.0440572289145624,1.0,0.0,0.0,1
2024-04,16.006468492066475,26,5.670731837787125,671,0,1.1121220114318626,1.0,0.0,0.0,1
2024-05,21.335918619378205,29,5.609347355613051,654,0,1.0416296541531171,1.0,0.0,0.0,1
2024-06,35.101679818499946,18,13.262100544485804,369,0,3.1259070759279055,1.0,0.0,0.0,1
2024-07,78.29420250264535,13,7.5657355905247,230,0,2.0983575083261257,1.0,0.0,0.0,1
2024-08,75.44996583887668,17,8.340148110194141,364,0,2.0227830348015274,1.0,0.0,0.0,1
2024-09,70.00341984384741,23,21.575521023427825,444,0,4.498807124176151,1.0,0.0,0.0,1
2024-10,41.22407248437504,24,11.83332124867926,470,0,2.4154665851415067,1.0,0.0,0.0,1
2024-11,21.758692637300026,24,4.829586570751946,705,0,0.9858352305783564,1.0,0.0,0.0,1
2024-12,13.100032127418036,27,2.64700114458024,706,0,0.5094156077895498,1.0,0.0,0.0,1
