# AmeriFlux BASE US-MBP version 5-5, 2009-01 to 2019-12, matching the study window.
# half_hours=192816; with_wind_direction=172639; in_excluded_sector=77245
# shares are of half-hours carrying a wind direction, which is what the sector rule acts on.
sector_start,pct_of_half_hours_with_wind_direction,excluded
0,4.5975,False
10,6.2749,False
20,3.8746,False
30,1.1457,True
40,0.647,True
50,0.5132,True
60,0.4634,True
70,0.4072,True
80,0.4281,True
90,0.4588,True
100,0.4767,True
110,0.4918,True
120,0.6586,True
130,0.8544,True
140,1.2813,True
150,2.1895,True
160,4.2256,True
170,9.7319,True
180,12.5916,True
190,8.1789,True
200,4.4503,False
210,2.4398,False
220,2.0001,False
230,1.835,False
240,1.6485,False
250,1.5564,False
260,1.5072,False
270,1.7991,False
280,2.0534,False
290,1.966,False
300,1.8878,False
310,2.3233,False
320,3.2976,False
330,4.2018,False
340,3.8491,False
350,3.6938,False
